key,en
OBSERVER_OVERVIEW_TITLE,Observer Program - Reports Overview
OBSERVER_OVERVIEW_TOTAL_CATCH_OBSERVED,Total catch observed
OBSERVER_OVERVIEW_TOTAL_CATCH_REPORTED,Total catch reported
OBSERVER_REPORT_AUTOPILOT,Autopilot
OBSERVER_REPORT_CONSTRUCTION_YEAR,Construction Year
OBSERVER_REPORT_DAY,Day
OBSERVER_REPORT_DESCRIPTION_DAYS,days
OBSERVER_REPORT_DESCRIPTION_DAYS_ON_BOARD,Days on Board
OBSERVER_REPORT_DESCRIPTION_DISEMBARKATION,Disembarkation
OBSERVER_REPORT_DESCRIPTION_DISEMBARKATION_DATE,Disembarkation Date
OBSERVER_REPORT_DESCRIPTION_DISEMBARKATION_PORT,Disembarkation Port
OBSERVER_REPORT_DESCRIPTION_EMBARKATION,Embarkation
OBSERVER_REPORT_DESCRIPTION_EMBARKATION_DATE,Embarkation Date
OBSERVER_REPORT_DESCRIPTION_EMBARKATION_LABEL,Embarkation Period
OBSERVER_REPORT_DESCRIPTION_EMBARKATION_PORT,Embarkation Port
OBSERVER_REPORT_DESCRIPTION_FROM,From
OBSERVER_REPORT_DESCRIPTION_OBSERVATION_LABEL,Observation Period
OBSERVER_REPORT_DESCRIPTION_OBSERVER,Observer
OBSERVER_REPORT_DESCRIPTION_OBSERVER_LABEL,Observer Period
OBSERVER_REPORT_DESCRIPTION_OBSERVER_NAME,Observer Name
OBSERVER_REPORT_DESCRIPTION_TAB_TITLE,Description
OBSERVER_REPORT_DESCRIPTION_TIMELINE,Timeline
OBSERVER_REPORT_DESCRIPTION_TITLE,Description
OBSERVER_REPORT_DESCRIPTION_TO,To
OBSERVER_REPORT_DESCRIPTION_TRIP_LABEL,Trip Period
OBSERVER_REPORT_DRA,DRA
OBSERVER_REPORT_ENGINE_POWER,Engine Power
OBSERVER_REPORT_ETP,ETP
OBSERVER_REPORT_FISH_CONSERVATION_METHODS,Fish Conservation Methods
OBSERVER_REPORT_FISH_PRESERVATION,Fish Preservation
OBSERVER_REPORT_FREEZING_CAPACITY,Freezing Capacity
OBSERVER_REPORT_GT,Gross Tonnage
OBSERVER_REPORT_HF_RADIO,HF Radio
OBSERVER_REPORT_LICENCE_NUMBER,Licence Number
OBSERVER_REPORT_LOA,LOA
OBSERVER_REPORT_LOGBOOK_LINKED,Logbook entry (%s) is linked to this trip
OBSERVER_REPORT_LOGBOOK_NOT_LINKED,No logbook entry is found associated to this trip
OBSERVER_REPORT_LOGBOOK_TAB_TITLE,Logbook
OBSERVER_REPORT_LOGBOOK_TITLE,Logbook linkage
OBSERVER_REPORT_NATIONALITY,Nationality
OBSERVER_REPORT_NET_PROBE,Net Probe
OBSERVER_REPORT_NET_TONNAGE,Net Tonnage
OBSERVER_REPORT_NIGHT,Night
OBSERVER_REPORT_NUMBER_OF_STORES,Number of Stores
OBSERVER_REPORT_OBS_ABSENT,Absent
OBSERVER_REPORT_OBS_PRESENT,Present
OBSERVER_REPORT_RADAR,Radar
OBSERVER_REPORT_REGISTRATION_NUMBER,Registration Number
OBSERVER_REPORT_REPORT_SELECTED,Report
OBSERVER_REPORT_ROUTE_TRACER,Route Tracer
OBSERVER_REPORT_SATELITE,Satellite
OBSERVER_REPORT_SELECT_REPORT_LABEL,Select a report
OBSERVER_REPORT_SONAR,Sonar
OBSERVER_REPORT_SOUNDER,Sounder
OBSERVER_REPORT_SPEED,Speed
OBSERVER_REPORT_STORAGE_CAPACITY,Storage Capacity
OBSERVER_REPORT_TITLE,Observer Program - Report Details
OBSERVER_REPORT_TRIP_ACTIVITY,Activity
OBSERVER_REPORT_TRIP_ACTIVITY_ID,Activity ID
OBSERVER_REPORT_TRIP_DAYTIME,Daytime
OBSERVER_REPORT_TRIP_DISCARD,Discard
OBSERVER_REPORT_TRIP_DISCARD_QUANTITY,Discard quantity
OBSERVER_REPORT_TRIP_ETP,ETP
OBSERVER_REPORT_TRIP_FROM,From
OBSERVER_REPORT_TRIP_FULL_TRIP,Full trip
OBSERVER_REPORT_TRIP_GEAR,Gear
OBSERVER_REPORT_TRIP_INDICATOR_DAYS,Days
OBSERVER_REPORT_TRIP_INDICATOR_ETP_SPECIES,ETP species
OBSERVER_REPORT_TRIP_INDICATOR_NUMBER_OF_OPERATIONS,Number of fishing operations
OBSERVER_REPORT_TRIP_INDICATOR_NUMBER_OF_SPECIES,Number of species
OBSERVER_REPORT_TRIP_INDICATOR_OBSERVATION_DURATION,Observation duration
OBSERVER_REPORT_TRIP_INDICATOR_SPECIES,species
OBSERVER_REPORT_TRIP_INDICATOR_TOTAL_DISCARD,Total discard
OBSERVER_REPORT_TRIP_INDICATOR_TOTAL_LANDED,Total landed
OBSERVER_REPORT_TRIP_INDICATOR_TRIP_DURATION,Trip duration
OBSERVER_REPORT_TRIP_INDICATOR_WITH_OBSERVER,with observer
OBSERVER_REPORT_TRIP_LANDED,Landed
OBSERVER_REPORT_TRIP_LANDED_QUANTITY,Landed quantity
OBSERVER_REPORT_TRIP_MAP_TITLE,Activities Locations
OBSERVER_REPORT_TRIP_NO,No
OBSERVER_REPORT_TRIP_OBSERVER_PRESENT,Observer
OBSERVER_REPORT_TRIP_OTHER_SPECIES,Other species
OBSERVER_REPORT_TRIP_PLOT_TITLE,Catch distribution
OBSERVER_REPORT_TRIP_SPECIES,Species
OBSERVER_REPORT_TRIP_TAB_TITLE,Trip and Activities
OBSERVER_REPORT_TRIP_TITLE,Trip and Activities
OBSERVER_REPORT_TRIP_TO,To
